"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
58,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:11:43","11/03/2019 23:11:44","467b712f6f3dd1baad34f7b11b75f7d1"
57,"SP-D17-18","upper","0:0:19",5,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:13:11","11/03/2019 23:13:30","ae7d7950ed68a29b627719c0723f0ca0"
58,"SP-D17-18","lower","0:0:19",3,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:13:11","11/03/2019 23:13:30","ae7d7950ed68a29b627719c0723f0ca0"
28,"SP-V1","NA",0,25,0,0,20,20,20,"SUCCESS","11/03/2019","11/03/2019 23:28:28","NA","e15ceae8fa62a160cebe0a1644e6116c"
59,"SP-D17-18","upper","0:0:50",5,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:30:40","11/03/2019 23:31:30","ae7d7950ed68a29b627719c0723f0ca0"
60,"SP-D17-18","lower","0:0:50",3,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:30:40","11/03/2019 23:31:30","ae7d7950ed68a29b627719c0723f0ca0"
59,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:40:02","11/03/2019 23:40:04","467b712f6f3dd1baad34f7b11b75f7d1"
30,"SP-V1","NA",0,12,0,0,10,10,10,"SUCCESS","11/03/2019","11/03/2019 23:37:06","NA","e15ceae8fa62a160cebe0a1644e6116c"
61,"SP-D17-18","upper","0:0:17",1,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:41:10","11/03/2019 23:41:27","ae7d7950ed68a29b627719c0723f0ca0"
62,"SP-D17-18","upper","0:0:1",0,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:41:56","11/03/2019 23:41:57","ae7d7950ed68a29b627719c0723f0ca0"
63,"SP-D17-18","lower","0:1:4",8,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:41:08","11/03/2019 23:42:12","ae7d7950ed68a29b627719c0723f0ca0"
64,"SP-D17-18","upper","0:0:18",5,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:49:46","11/03/2019 23:50:04","ae7d7950ed68a29b627719c0723f0ca0"
65,"SP-D17-18","lower","0:0:18",3,0,0,0,0,0,"SUCCESS","11/03/2019","11/03/2019 23:49:46","11/03/2019 23:50:04","ae7d7950ed68a29b627719c0723f0ca0"
32,"SP-V1","NA",0,13,0,0,10,10,10,"SUCCESS","11/03/2019","11/03/2019 23:47:27","NA","e15ceae8fa62a160cebe0a1644e6116c"
33,"SP-V1","NA",0,7,0,0,5,5,5,"SUCCESS","11/03/2019","11/03/2019 23:52:49","NA","e15ceae8fa62a160cebe0a1644e6116c"
60,"SP-W1","NA","0:0:2",27,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:03:55","12/03/2019 00:03:57","467b712f6f3dd1baad34f7b11b75f7d1"
66,"SP-D17-18","upper","0:8:13",2,0,0,0,0,0,"SUCCESS","12/03/2019","11/03/2019 23:56:18","12/03/2019 00:04:31","ae7d7950ed68a29b627719c0723f0ca0"
67,"SP-D17-18","lower","0:8:13",6,0,0,0,0,0,"SUCCESS","12/03/2019","11/03/2019 23:56:18","12/03/2019 00:04:31","ae7d7950ed68a29b627719c0723f0ca0"
68,"SP-D17-18","upper","0:4:3",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 00:04:45","12/03/2019 00:08:48","ae7d7950ed68a29b627719c0723f0ca0"
